id|airport_code|code
601|KNO|IDN000006000
602|LDU|MYS000002000
603|SDK|MYS0SBSDK000
604|BTU|MYS0SRBTU000
605|KCH|MYS0SRKCH000
606|LBU|MYS000003000
607|MMY|JPN000056000
608|TWU|MYS0SBTAW000
609|PNK|IDN000007000
610|SBW|MYS0SRSBW000
611|LOP|IDN000008000
612|BKI|MYS000004000
613|TRS|ITA000TRS000
614|ABE|USA0PAAEW000
615|DNT|USAAP0003000
616|JOC|USAAP0003000
617|SNA|USAAP0003000
618|MSN|USAAP0004000
619|YLW|CAN000002000
620|SPG|USA0FLTPA000
621|TPF|USA0FLTPA000
622|TPA|USA0FLTPA000
623|MCF|USA0FLTPA000
624|KYO|USA0FLTPA000
625|CLW|USA0FLTPA000
626|GEG|USA0WAGEG000
627|SKA|USA0WAGEG000
628|SFF|USA0WAGEG000
629|DOH|QAT0000DW000
630|LEX|USAAP0005000
631|LSD|USAAP0005000
632|YFC|CAN000003000
633|BTM|USAAP0006000
634|KBV|THA000081000
635|RDU|USA0NCRAG000
636|KEL|DEU000KEL000
637|KTW|POL000001000
638|DRS|DEU000001000
639|FDH|DEU000002000
640|FMO|DEU000003000
641|ABG|DEU000AGB000
642|AGB|DEU000AGB000
643|PAD|DEU000004000
644|ZAG|HRV000001000
645|CTA|ITA000CTA000
646|ORF|NFK000000000
647|NGU|NFK000000000
648|COS|USAAP0007000
649|FCS|USAAP0007000
650|AFF|USAAP0007000
651|OFF|USA0NEOMA000
652|MIQ|USA0NEOMA000
653|OMA|USA0NEOMA000
654|MMT|USA0SCCOV000
655|CAE|USA0SCCOV000
656|CUB|USA0SCCOV000
657|RMI|ITA000001000
658|AOI|ITA000AOI000
659|BRI|ITA000BRI000
660|CAG|ITA000CAG000
661|GOA|ITA000CAX000
662|YWG|CAN000WNP000
663|OAK|USA0CAOAK000
664|JCE|USA0CAOAK000
665|DSM|USA0IADSM000
666|MLI|USAAP0008000
667|OKC|USAAP0009000
668|PWA|USAAP0009000
669|TIK|USAAP0009000
670|DWN|USAAP0009000
671|AAL|DNK000001000
672|YXE|CAN000SAK000
673|HBA|AUSTASHBA000
674|WRO|POL000WRO000
675|BNJ|DEU000005000
676|INN|AUT000003000
677|DVO|PHL000DOR000
678|CLT|USA0NCCRQ000
679|QWG|USA0NCCRQ000
680|MTN|USA0MDBAL000
681|BWI|USA0MDBAL000
682|GBO|USA0MDBAL000
683|GDN|POL000GDN000
684|LIL|FRA000LLE000
685|POZ|POL000POZ000
686|NWI|GBR000003000
687|BHM|GBRENGBIR000
688|PLM|IDN000009000
689|SOC|IDN000010000
690|TRU|VEN00000T000
691|RNS|FRA000002000
692|CWL|GBR000004000
693|KRS|NOR000022000
694|KKC|THA000040000
695|UTH|THA000041000
696|URT|THA000003000
697|HDY|THA000004000
698|TST|THA000092000
699|GYE|ECU000001000
700|NTE|FRA000NTE000
701|PKG|MYS000005000
702|SRG|IDN000011000
703|HBE|EGY000ALY000
704|ALY|EGY000ALY000
705|SGZ|THA000090000
706|TKT|THA000005000
707|MYJ|JPN000057000
708|BLL|DNK000002000
709|AJA|FRA000003000
710|AVN|FRA000004000
711|BIA|FRA000005000
712|BIQ|FRA000006000
713|CFE|FRA000007000
714|CLY|FRA000008000
715|ETZ|FRA000009000
716|ENC|FRA000009000
717|MZM|FRA000009000
718|GNB|FRA000010000
719|LAI|FRA000011000
720|LRT|FRA000012000
721|MLH|FRA000013000
722|NCY|FRA000014000
723|PGF|FRA000015000
724|PUF|FRA000016000
725|RDZ|FRA000017000
726|TLN|FRA000018000
727|INV|GBR000005000
728|EIN|NLD000002000
729|HUY|GBR000006000
730|LBA|GBR000007000
731|TRD|NOR000023000
732|TRF|NOR000024000
733|PEE|RUS000PER000
734|ANE|FRA000019000
735|BES|FRA000020000
736|LIG|FRA000LIG000
737|LME|FRA000021000
738|PIS|FRA000022000
739|UIP|FRA000023000
740|VGO|ESP000005000
741|YWH|CAN000VIC000
742|YYJ|CAN000VIC000
743|PUE|PAN000001000
744|DLM|TUR000001000
745|VAN|TUR000002000
746|SFQ|TUR000003000
747|GNY|TUR000003000
748|MLX|TUR000004000
749|GZT|TUR000GAZ000
750|ERZ|TUR000005000
751|DIY|TUR000DIY000
752|ASR|TUR000KAY000
753|KYA|TUR000KON000
754|SSX|TUR000SAM000
755|SZF|TUR000SAM000
756|TZX|TUR000TRA000
757|BJV|TUR000006000
758|BXN|TUR000006000
759|DNZ|TUR000DEN000
760|EDO|TUR000007000
761|TUF|FRA000024000
762|ACE|ESP000006000
763|ANR|BEL000VAN000
764|IBZ|ESP000007000
765|KZN|RUS000KZN000
766|LEH|FRA000025000
767|MAH|ESP000008000
768|TCL|USAAP0010000
769|TFN|ESP000009000
770|TFS|ESP000009000
771|HUI|VNM000002000
772|CXR|VNM000003000
773|NHA|VNM000003000
774|KLO|PHL000001000
775|KMI|JPN000045000
776|UUS|RUS000JSA000
777|BOI|USA0IDBOI000
778|GOJ|RUS000GOJ000
779|JOE|FIN000JOE000
780|JYV|FIN000001000
781|KAJ|FIN000002000
782|KAO|FIN000003000
783|KOK|FIN000KOK000
784|KTT|FIN000004000
785|KUO|FIN000005000
786|MHQ|FIN000MHQ000
787|OUL|FIN000OLU000
788|RVN|FIN000006000
789|TKU|FIN000TKU000
790|TMP|FIN000TMP000
791|VAA|FIN000VAA000
792|SKO|NGA000001000
793|KMQ|JPN000058000
794|ROT|NZL000001000
795|NAR|COL000002000
796|KSC|SVK000KOR000
797|TSR|ROU0000TI000
798|TOD|MYS000006000
799|TPS|ITA000TPS000
800|JAC|USA0MSJAN000
801|BUR|USAAP0011000
802|BIL|USA0MTBGS000
803|ABQ|USA0NMABQ000
804|HDN|USAAP0012000
805|MTJ|USAAP0013000
806|HWO|USAAP0014000
807|IAB|USAAP0015000
808|ICT|USAAP0015000
809|BEC|USAAP0015000
810|CEA|USAAP0015000
811|RVS|USA0OKTUL000
812|TUL|USA0OKTUL000
813|GRR|USA0MIGRR000
814|ROC|USA0MNRST000
815|SBS|USAAP0016000
816|GUC|USAAP0017000
817|OGG|USAAP0018000
818|KOA|USAAP0019000
819|ALB|USA0NYCVO000
820|SCE|USAAP0020000
821|MDT|USAAP0021000
822|HAR|USAAP0021000
823|RIC|USA0VARIC000
824|INT|USAAP0022000
825|PIE|USAAP0023000
826|RSW|USAAP0024000
827|FMY|USAAP0024000
828|LNA|USAAP0025000
829|PBI|USAAP0025000
830|FXE|USAAP0026000
831|FLL|USAAP0026000
832|BDL|USA0CTHFD000
833|BNH|USA0CTHFD000
834|HFD|USA0CTHFD000
835|MHT|USA0NHMHT000
836|BRL|USA0VTBTV000
837|PVD|USA0RIPVD000
838|RHV|USA0CASJC000
839|SJC|USA0CASJC000
840|SMF|USAAP0027000
841|SAC|USAAP0027000
842|MHR|USAAP0027000
843|MCC|USAAP0027000
844|SNN|IRL000001000
845|WEX|IRL000002000
846|WAT|IRL0000WF000
847|WIE|DEU000WIB000
848|MMH|USAAP0028000
849|SMV|CHE000001000
850|LPA|ESP000LPA000
851|LCG|ESP000010000
852|SDR|ESP000SDR000
853|GPA|GRC000001000
854|CEG|GBRENGCEG000
855|LPL|GBRENGLIV000
856|SZD|GBRENGSHE000
857|ENK|GBR000008000
858|AUA|ABW000000000
859|BNA|USA0TNBNA000
860|KKJ|JPN000059000
861|TYS|USAAP0029000
862|LIT|USA0ARLIT000
863|HUA|USAAP0030000
864|HSV|USAAP0030000
865|GMU|USAAP0031000
866|GSP|USAAP0031000
867|GDC|USAAP0031000
868|SPA|USAAP0031000
869|CRW|USA0SCCHS000
870|SPI|USA0ILSPI000
871|ABV|NGA000002000
872|EVN|ARM000EVN000
873|SBN|USAAP0032000
874|CCO|COL000003000
875|AXT|JPN000005000
876|IGU|BRA000003000
877|TSE|KAZ000AST000
878|PBM|SUR0000PM000
879|ORG|SUR0000PM000
880|MKR|AUS000001000
881|SPZ|USA0ARFYV000
882|XNA|USA0ARFYV000
883|FYV|USA0ARFYV000
884|FYM|USA0ARFYV000
885|AGS|USA0GAAUT000
886|DNL|USA0GAAUT000
887|SYR|USAAP0033000
888|FBM|COD000003000
889|GES|PHL000002000
890|YQB|CAN000QUE000
891|YQY|AUSNSWHBS000
892|PFO|CYP000005000
893|SHV|USA0LASHV000
894|DTN|USA0LASHV000
895|BAD|USA0LASHV000
896|HJR|IND000005000
897|LWO|UKR000001000
898|DNK|UKR000002000
899|FNC|PRT000FUN000
900|HRK|UKR000063000
901|KRR|RUS000KRR000
902|ROV|RUS000003000
903|SBZ|ROU0000SO000
904|VAR|BGR000VAR000
905|BMI|USAAP0034000
906|TVC|USAAP0035000
907|CID|USA0IACID000
908|JLN|USAAP0036000
909|YSB|CAN000SUD000
910|LSE|USAAP0037000
911|KRP|DNK000003000
912|YYT|CAN000SJB000
913|JAI|IND000JAI000
914|LUG|CHE000002000
915|ASP|AUS000002000
916|ROA|USAAP0038000
917|PNS|USAAP0039000
918|NUN|USAAP0039000
919|NPA|USAAP0039000
920|NDP|USAAP0039000
921|AAR|DNK0000AR000
922|ASM|ETH000001000
923|BGR|USA0MEBNQ000
924|SGF|USA0ILSPI000
925|HDB|DEU000006000
926|DMM|SAU000DAM000
927|CMI|USAAP0040000
928|ANQ|USAAP0041000
929|GUN|USA0ALMGM000
930|MXF|USA0ALMGM000
931|MGM|USA0ALMGM000
932|YQT|CAN000THU000
933|CHA|USA0TNCHA000
934|TSV|AUSQLDTSV000
935|FAR|USA0NDFAR000
936|MSU|LSO00000A000
937|MBS|USA0MISGM000
938|EBR|USA0LABTR000
939|BTR|USA0LABTR000
940|BMT|USAAP0042000
941|BPT|USAAP0042000
942|MFE|USAAP0043000
943|USN|KOR031000000
944|KPO|KOR043KPO000
945|LFT|USAAP0044000
946|ARA|USAAP0044000
947|MYY|MYS000007000
948|EVV|USA0INEVV000
949|RKT|ARE000001000
950|RHR|ARE000001000
951|MDQ|ARG000MDQ000
952|REL|ARG000REL000
953|SLA|ARG000SLA000
954|USH|ARG000USH000
955|BME|AUS000003000
956|BQB|AUS000004000
957|HVB|AUS000005000
